smiles,NCI1,group
CN(C)CCNC1=C2C(=C(C3=C1C(=CN3)CN(C)C)NCCN(C)C)C(=O)C4=CC=CC=C4C2=O,0,training
C1=CC(=C(C(=O)C=C1)O)C(=O)/C=C\C2=CC=C(C=C2)[N+](=O)[O-],0,training
CC(C)(C)C(=O)/C=C/C1=CC(=C(C=C1)OC)OC,0,training
C1OC2=C(O1)C=C3C(=C2)[C@@H]4[C@H](C3=O)C5=C(C=C(C=C5)[N+](=O)[O-])C(=O)N4CCCBr,1,test
C1CCC2(C(C1)C3(/C(=N\O)/CCCC3=[N+]2[O-])O)N4CCOCC4,0,training
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,1,training
C1=CC(=CC=C1NC(=O)C2=CC(=CC(=C2)Cl)Cl)N3C=C(C(=N3)C4=CC(=C(C=C4)Cl)O)C5=CC=NC=C5,0,training
C1=CC=C(C(=C1)CC2=CC=C(C=C2)C(=O)O)C(=O)O,0,test
C1=CC(=CC=C1C2C(C(=C(O2)N)C#N)(C#N)C#N)[N+](=O)[O-],0,training
CN(C)CCNC1=C2C3=C(C=C1)C(=O)N(C(=O)N3C4=C(C2=O)C=C(C=C4)OC)CCN(C)C.Cl,1,training
CC(C)C1=CC=C(C=C1)NC2=NC=CC(=N2)C3=C4C=CC=NN4N=C3,0,training
C1=CC=C(C=C1)C(=N)CC(=O)NC2=CC=CC=N2,0,training
C1=CC=C(C=C1)CCOC(=O)CCC2=CC(=C(C=C2)O)O,0,valid
CC(CC(=O)NC1=CC=C(C=C1)NC(=O)CC(C)N=NC(=O)N)N=NC(=O)N,0,training
CC1(NC2=C(C=C(C=C2C(C(F)(F)F)(C(F)(F)F)O)C(C)(C)C)C(O1)(C(F)(F)F)C(F)(F)F)C(C)(C)C,0,training
C[C@@H](CCC=C(C)C)[C@@H]1CC[C@]2([C@]1(CC[C@@]3(C2CC[C@]4(C3CCCO)C(O4)(C)C)C)C)C,0,training
COC1=C(C=C(C=C1)C(=O)C2=CC(=C(C(=C2)OC)OC)OC)/C=C/C(=O)C3=CC=C(C=C3)F,0,training
CC1=CC=C(C=C1)C(=O)CC2=NC3=C(C=CC=N3)NC2=O,0,training
C1=NC(=C2C(=N1)N(C=N2)C3C4C(O4)C(O3)CN=[N+]=[N-])N,0,training
C[C@@H]1C[C@@H]2CC[C@H]3C(C[C@@H](O3)CC[C@]45CC6[C@H](O4)C7[C@H](O6)[C@@H](O5)[C@@H]8[C@H](O7)CCC(O8)CC(=O)O[C@@H]9[C@H]([C@H]3[C@H](C[C@@H]4[C@H](O3)C[C@@]3(O4)C[C@H]4[C@@H](O3)[C@H](C[C@]3(O4)C[C@@H]([C@H]4[C@@H](O3)C[C@@H]3[C@H](O4)CC(O3)C(COC(=O)C)OC(=O)C)C)C)O[C@H]9CC(C1(CO)O)O2)C)(CO)O,1,training
CC1=C2[C@H](C(=O)[C@@]3([C@H](CC4C(C3C([C@@](C2(C)C)(CC1OC(=O)[C@@H](C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)OC(=O)CCC(=O)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,1,training
COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCNCCCN)OC,0,valid
C1CN(CCN1C2=CC=CC=N2)C3=CC(=O)C4=C(C=CC(=C4C3=O)O)O,0,training
CC1=NC2=C(C(=O)N1)N=CN2CCO,0,training
CC1=NC2=CC=CC=C2N1COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,0,training
C1=CC(=CC=C1N2C(=O)C=CC2=O)I,0,training
CC1(C(=O)C(=CC2=CC=CO2)C1=O)C,0,training
CC1(CCCCCCC2CC2CCCCCC(C1=O)(C)C)C,0,test
C1=CC=C2C(=C1)C=CC=C2/C=C\C(=O)C3=CC=C(C=C3)F,0,training
C1=CC(=CC=C1C(=NC2=CC=C(C=C2)F)N=NC3=CC=C(C=C3)Cl)N(CCC#N)CCC#N,0,training
C[C@@H]1[C@@H]2[C@H](C(=O)O[C@H]3[C@@]24CO[C@@]([C@@H]1O)([C@@H]4[C@@]5([C@@H](C3)C(=CC(=O)[C@H]5O)C)C)O)O,0,training
CC(C)(C)OC(=O)N1CCCC1=O,0,training
CC1=CC(=CC(=C1N)C)C2=NNC(=O)CC3=CC4=C(C=C32)OCCO4,0,training
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3C([C@@](C2(C)C)(CC1OC(=O)C([C@H](C5=CC=CC=C5)NC(=O)C(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)OC(=O)C,0,test
CC1=CC(=C2C(=C1OC)C(=O)C3=CC(=C(C(=C3C2=O)OC)OC)OC)O,0,training
CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=C6C(=CC5=C4)OCO6)O,1,training
C1C2=C(CC13CC4=CC=CC=C4C3)C=C(C=C2)CCC(=O)O,0,training
COC1=CC(=CC(=C1)CN2C3=C(CCC4=C3ON=C4)C(=C2C5=CC=CC=C5)Cl)OC,0,training
CCN(CC)C1=NC=NC2=C1N=CN2CCNC(CO)(CO)CO,0,training
C[C@H]1C[C@H](C2=C(N1C(=O)C)C=CC(=C2)C3=CC=C(C=C3)C(=O)O)NC4=CC=C(C=C4)Cl,0,test
CC1=CC=CC=C1C(=O)OC2=CC=C(C=C2)O,0,training
C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCNCC(C(C(C(CO)O)O)O)O,0,training
COCC1C(=O)C2=CC3=C(C=C2C14C=CC5(C=C4)OCCO5)OCO3,0,training
C1COCCN1CC2=CC(=C3C=CC=NC3=C2O)/C=C/C(=O)C4=C5C=CC=NC5=C(C(=C4)CN6CCOCC6)O,1,training
COC1=CC2=C(C=C1)[C@@H]3COC4=C([C@@H]3O2)C=CC(=C4)O,0,training
CC(C)CC(=O)/C(=C\C1=CC=CC=C1)/C(=O)C,0,training
CC1=C(C(=O)C[C@]2(C1C[C@@H]3[C@]45C2[C@H](C([C@]([C@@H]4[C@H](C(=O)O3)OC(=O)/C=C(/C6=CC=CC=C6)\C(F)(F)F)(OC5)C(=O)OC)O)O)C)O,0,training
COC1=C(C=CC(=C1)C2=N/C(=C\C3=C(NC4=C3C=C(C=C4)Cl)O)/C=C5C2=NC6=CC=CC=C65)F,0,training
C1=CC(C=CC1=O)(C#CCO)O,0,training
C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O.C1=CC(=CC(=C1)N)C(=C2C=CC(=N)C=C2)C3=CC(=CC=C3)N,1,training
C1C2=C(C(=O)NC3=NNC(=C31)N)N(C4=CC=CC=C24)CC5=CC=C(C=C5)Cl,0,training
CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NC3=NN(C(=C3)C(=O)NCCCN(C)C)C)C)NC(=O)CCCOC4=C(C=C5C(=C4)N=CC6CCCN6C5=O)OC,0,training
C/C=C(/C)\C1=CN=C(C(=O)N1)CC(C)C,0,training
C1[C@H]([C@@H]1N2C=CC(=O)NC2=O)CO,0,training
C1C2CC3CC1CC(C2)(C3)/C(=C/C=NC4=CC=C(C=C4)Br)/NC5=CC=C(C=C5)Br.Cl,0,training
C[N+](=C1C=CC2=NC3=C(C=C(C4=CC=CC=C43)NCCCNC5=CC6=C(C7=CC=CC=C75)N=C8C=CC(=[N+](C)C)C=C8O6)OC2=C1)C.[Cl-],0,test
CN1C2CC(C(=O)C1CC3=C2N(C4=CC=CC=C34)C)C(=O)OC,0,training
COC(=O)C1=CC=C(C=C1)C2=C([N+](=O)C3=CC(=C(C=C3N2[O-])Cl)Cl)C#N,0,training
COC1=CC=C(C=C1)/C(=C(/C2=CC=C(C=C2)OC)\Cl)/C=O,0,training
CC1=C(C=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)O,0,training
COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)NCCNCCO.Cl,0,training
CCOC1=C(C2=C(C(=C1)C(=O)O)C3=C(C=C2)C=CC(=C3OC)OC)OC,0,training
COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)OC,0,test
CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,1,training
CCN(CC)C1=CC=C(C=C1)C2C3=C(CCCC3=O)C4=C(N2)C=CC5=CC=CC=C54,0,training
C1C=CCC2C1C(=O)N(C2=O)N3C(=NNC3=O)CC4=CC=CC=C4,0,training
C1=CC(=CC(=C1)NC(=O)CC#N)C(F)(F)F,0,training
C1=CC=C(C=C1)COC(=O)N2[C@H](C(=O)N=C2N)CCC(=O)N,0,training
COC1=CC=C(C=C1)C(=O)NC2=CC=C(C(=O)C=C2)O,0,training
COC1=CC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NC4=CC(=C(C=C4)O)CN5CCCC5.Cl,0,training
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],1,training
C1=CC=C(C=C1)C2=NNC(=O)N2/N=C/C3=CNC4=CC=CC=C43,0,training
CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO,0,test
C1=CC(=C(C=C1Cl)C(=O)NC2=NC=C(N=C2)C(F)(F)F)O,1,test
C/C(=C(/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)OCCN3CCCC3)/C4=CC=CC=C4,0,training
C1/C(=N\NC(=O)NN)/C(C(=O)C(=O)N1C2=C(C=C(C=C2)Cl)Cl)C3=NC4=CC=CC=C4O3,0,training
COC1=C(C(=C2C(=C1)[C@@H]([C@@H](C2=O)O)NC(=O)N)OC)OC,0,test
CC1=C(CC(CC1=O)C(=C)C)O,0,training
CC(=O)C1=CC(=CC=C1)NC2=CC(=NC3=C2C=C(C=C3)OC)C4=CC=CC=C4,0,training
C1=CC(=CC(=C1)F)NNC2=CC(=O)NC(=N2)N,0,training
C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=NN(C=C3)C4=CC(=C(C=C4)N)F)/C)C,1,test
C1=CC2=C(C(=C1)Cl)C(=NC=N2)NN,0,training
CCCCCC/C=C\CCCCCCCCCC1=CC(=O)C=C(C1=O)OC,0,valid
CC1(CCCC2(C3C1C(C2(CC3O)C)O)C)C,0,training
CCOC1=NN2C(=C(C=N2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C(F)(F)F)OC)C=C1,0,training
C1=CC=C(C(=C1)C(=O)N/N=C(\C(C#N)C2=CC=C(C=C2)Br)/C(=O)C(C#N)C3=CC=C(C=C3)Br)O,0,training
COC1=CC2=C(C3=C(C2=O)C4=C(C=C(C=C4)Cl)C(=O)N3CCCN5C=CN=C5)N=C1,1,training
C1=CC=C2C(=C1)C=CC3=C2C=C4C(=CC(=O)NC4=O)O3,0,training
C1=CC=C2C(=C1)NC(=N2)CNC3=CC=C(C=C3)O,0,training
CCOCC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,0,training
CCN(CC)CCCNC1=NC=CC2=C(C3=C(C=C21)C(=O)C4=C(N3)C=CN=C4)C,0,training
CCOC1=C(C=CC(=C1)C2=C(N3C=CC=CC3=N2)/N=C/C4=C(C=CC(=C4)Br)O)O,0,training
C(C(C(=O)NN)O)(C(=O)NN)O,0,training
C1CN(CCN1)CCNCC2=CC=CC=N2,0,training
CC(=C)C#CC(C1=CC=CC=C1)(C(=O)OC2CCN(CC2)C)O,0,training
CC1=CC2=C(C(=O)OC2(C(C1)C3=CC=CC=C3)C)C#N,0,training
C1=CC=C2C(=C1)C(=C3C(=N2)C=CC=C3[N+](=O)[O-])NCCCNC4=C5C(=NC6=CC=CC=C64)C=CC=C5[N+](=O)[O-],1,training
CC(C)[C@@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@H](CC(=O)N[C@@H](CCCN)CC(=O)N[C@@H](CCCN)CC(=O)N[C@H](CC(=O)N)C(C)C)C(C)C)CC(=O)O)COC1C(C(C(C(O1)CO)O)O)NC(=O)C)N,0,training
C1=CC=C(C(=C1)C(=O)NN2C(C(C2=O)Cl)C3=CC=C(C=C3)[N+](=O)[O-])O,0,training
CCCCCCCCCCC([C@H]1CCC(O1)C2CC[C@@H](O2)[C@@H](CCCCCCCCCCC(CC3=CC(OC3=O)C)O)O)O,0,training
CC(=O)NCCC(=O)C1=C(C=CC(=C1)OC)NC=O,0,test
CC1=C(C(=O)N(N1)C2=CC=CC=C2)/C=C\3/C(=NN(C3=O)C4=CC=CC=C4)C,0,training
CC1=N/C(=C\C2=CC(=CC=C2)OC)/C(=O)N1N3C(=NC4=CC=CC=C4C3=O)C5=CC=CC=C5,0,training
CC(C1C(=O)NC(C(=O)N[C@@H]2CCC[C@@H]2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCNC(=O)OC(C)(C)C)CC3=CNC4=CC=CC=C43)CC5=CC=CC=C5)CC6=CC=CC=C6)OC(C)(C)C,0,test
CN\1C(CC/C1=C(/C#N)\C(=O)OC)NC2=CC=CC(=C2)C(F)(F)F,0,training
C1=CC=C2C(=C1)C(C(=O)N2)(CC(=O)C3=CC(=C(C=C3)Cl)Cl)O,0,training
C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)N2NC(=O)CNC4=CC=C(C=C4)Cl,0,training
C[N+]1=CC2=CC(=C(C=C2C3=C1C4=CC(=C(C=C4C(=C3)O)O)OC)OC)OC.[Cl-],0,test
CC1=C(OC2=C(C1=O)C=CC(=C2)O)C(=O)NC3=C(C=C(C=C3)OC)[N+](=O)[O-],0,test
CC1=C(C(NC(=O)N1)C2=CC(=CC=C2)O)C(=O)NC3=CC(=C(C=C3)F)Cl,0,training
COC1=CC=CC(=C1)NC(=O)C2=CC=C(C=C2)NC3=C(C(=O)N(C3=O)CC4=CC=CC=C4)Cl,0,training
C1CC2=CC3=C(C=C2C1)N(C4=C(C3C5=CC(=CC=C5)Cl)C(=O)OC4)CCO,1,training
C1=CC=C2C=C(C(=CC2=C1)C(=O)NCCOC3=CC4=CC=CC=C4C=C3C(=O)NC5=C(C=C(C=C5)Cl)O)OCCCN,0,valid
CCOC(=O)C(C(F)(F)F)(NC(=O)C1=C(C(=C(C(=C1F)F)F)F)F)Cl,0,training
CCOC(=O)C1=C(N(C2(C13C(C(=O)C=C2)C(=O)N(C3=O)C4=CC=CC=C4)O)CC5=CC=CC=C5)C,0,training
CN(C)C(=O)[C@@H]1[C@H]([C@]2([C@@]([C@@H]1O)(C3=C(O2)C=C(C=C3OC)OC)O)C4=CC=C(C=C4)OC)C5=CC=CC=C5,1,training
C1CN=C2C(=C(C3=NC=NC3=C2O)O)C14C=C(C(=O)C(=C4)Br)Br,0,test
CN1C2=CC=CC=C2C3=C1C4CN(CC(=O)N4CC3)C(=O)C5CCCCC5,0,training
C1COCCN1CCC(=O)/C=C/C2=CC=CC=C2.Cl,0,training
CCOC(=O)C(CC(C)C)NC(=O)C(CC1=CC=C(C=C1)N(CCCl)CCCl)N,0,training
CC(=O)C1=CC=C(C=C1)N=NN2CCCC2,0,training
CC1=C(C(=CC(=C1OC)OC)CC2C(=O)N/C(=C\C3=CC(=C(C(=C3OC)C)OC)OC)/C(=O)N2C(=O)C)OC,0,training
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]3[C@H](O2)COC(N3O)CCl,0,training
CC1=CC=C(C=C1)N=NC2=CC=C(C(=O)C=C2)OC(=O)C(=C)C,0,training
CC(C)NCC(C1=C2C=CC=NC2=C(C=C1)O)O.Cl,0,training
C1=CC=C(C=C1)C2=CC=CC=C2C(=O)C3=CC=CC=C3,0,valid
CC1=CC=C(C=C1)/C=C\2/C(=O)NC(=N2)N3CCCCC3,0,training
COC1=CC=C(C=C1)/C=C/C(C(=O)O)C(=O)O,0,valid
CC1C(C(CC(O1)OC2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)CF)O)N)O,0,training
C1=CC=C2C(=C1)C3=CC=CC=C3C2=NC4=CC=C(C=C4)N=C5C6=CC=CC=C6C7=CC=CC=C75,0,training
C1C2CC3CC1CC(C2)(C3)C4=CC5=C(C(=O)N4)C(=O)OC6=CC=CC=C65,1,training
CCC1=C2CCCC(=O)C2=C3CC4(CC3=C1)CC5=CC(=C6CCCC(=O)C6=C5C4)CC,0,training
CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)OC(=O)CN(C)C.Cl,1,valid
C1=CC=C2C=C3C(=CC2=C1)C(=O)C4=CC5=CC=CC=C5OC4(O3)O,0,valid
C1=CC=C2C(=C1)C(=CC(=O)C2=O)NC3=CC=C(C=C3)Br,0,training
CC(=O)/C(=C\C1=CC=CC=C1)/C(=O)NC2=CC=C(C=C2)OC,0,test
C1=CC=C(C(=C1)/C=N/NC(=O)N/N=C/C2=CC=CC=C2O)O,0,training
COC1=C(C2=C(C=C1)C(=C(O2)/C=C\3/C4=C(N=CC=C4)N=N3)O)C[C@@H]5CCNC[C@H]5F,1,training
C1CC[C@@H]([C@H](C1)[C@@H]2CCC[C@@H](C2O)[C@@H]3CCCC[C@H]3O)O,0,training
CCCCC1=CC=C(C=C1)NC2=NC3=C(C=CN3C4CC(C(O4)COC5=CC=C(C=C5)C)OC6=CC=C(C=C6)C)C(=N2)Cl,0,training
CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,0,training
C[N+]1(CCCC1C(=O)[O-])C,0,training
CC(=O)OC1=CC=C(C=C1)C2CC3=CC(=C(C=C3OC2)OC(=O)C)OC(=O)C,0,training
CC(C1(CCC1)CNC2=CC(=NC(=N2)N)Cl)O,0,training
CC(C)C1CN1CC(CN2C=CN=C2[N+](=O)[O-])O,0,training
CCOC(=O)C1=C(N(C2=C1C(=O)C(=O)C3=C2N=C(N3)CC4=CC=CC=C4)CC5=CC=CC=C5)C,0,valid
CC1=C(C(=O)NC(=N1)C)N2CCN(CC2)C(=O)O,0,training
CN(C)CCCCNC1=C2C(=C(C=C1)NCCCCN(C)C)C(=O)C3=C(C=CC(=C3C2=O)O)O,0,training
COC1=CC(=C(C=C1)OC)C(=O)C2=NC(=CC=C2)C(=O)C3=C(C=CC(=C3)OC)OC,0,test
